Indicator,Countryname,Year,Zone,Area En,Area Sp,Countrycode,Countryname Sp,Date,Indicator Sp,Series,Upi,Circa,count,Country,Number of Records,Rate
"Atkinson, A(0.5)",Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,2008,1,32,1,0.169693798
"Atkinson, A(1)",Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,2008,1,32,1,0.319585612
"Atkinson, A(2)",Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,2008,1,32,1,0.590639544
Gini coefficient (no zero income),Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,2008,1,32,1,0.451838570
Gini coefficient,Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.441397364
Rate 90/10,Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,9.602156871
Rate 75/25,Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,3.204102995
"Generalized entropy, GE(-1)",Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.690837254
"Mean log deviation, GE(0)",Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.367440352
"Theil index, GE(1)",Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.338772579
"Generalized entropy, GE(2)",Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,0.485457430
"Atkinson, A(0.5)",Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.160325342
"Atkinson, A(1)",Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.307495368
"Atkinson, A(2)",Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.580127345
Gini coefficient (no zero income),Argentina (urban),2009,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.440285037
Gini coefficient,Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.444588151
Rate 90/10,Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,9.352830921
Rate 75/25,Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,3.150254395
"Generalized entropy, GE(-1)",Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.690900712
"Mean log deviation, GE(0)",Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.369892260
"Theil index, GE(1)",Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.348487703
"Generalized entropy, GE(2)",Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,0.525474921
"Atkinson, A(0.5)",Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.162811267
"Atkinson, A(1)",Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.309191246
"Atkinson, A(2)",Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.580149718
Gini coefficient (no zero income),Argentina (urban),2010,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.443635431
Gini coefficient,Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.427376702
Rate 90/10,Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,8.117907421
Rate 75/25,Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,2.992469306
"Generalized entropy, GE(-1)",Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.496609822
"Mean log deviation, GE(0)",Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.326040142
"Theil index, GE(1)",Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.317926766
"Generalized entropy, GE(2)",Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,0.453191048
