Indicator,Countryname,Year,Zone,Area En,Area Sp,Countrycode,Countryname Sp,Date,Indicator Sp,Series,Upi,Circa,count,Country,Number of Records,Rate
Gini coefficient,Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.552854135
Rate 90/10,Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,12.884204701
Rate 75/25,Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.623150517
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,1.102715154
"Mean log deviation, GE(0)",Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.564539973
"Theil index, GE(1)",Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.613625495
"Generalized entropy, GE(2)",Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.448202306
"Atkinson, A(0.5)",Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.253551729
"Atkinson, A(1)",Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.431378332
"Atkinson, A(2)",Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.688029405
Gini coefficient (no zero income),Latin America & the Caribbean,2002,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.552132570
Gini coefficient,Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.546250992
Rate 90/10,Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,12.588382703
Rate 75/25,Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.576656736
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,1.138563650
"Mean log deviation, GE(0)",Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.551584846
"Theil index, GE(1)",Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.596600210
"Generalized entropy, GE(2)",Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.406988364
"Atkinson, A(0.5)",Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.247661098
"Atkinson, A(1)",Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.423963842
"Atkinson, A(2)",Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.694854698
Gini coefficient (no zero income),Latin America & the Caribbean,2003,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.545552715
Gini coefficient,Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.540829172
Rate 90/10,Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,12.166035628
Rate 75/25,Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.531759521
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,1.018027008
"Mean log deviation, GE(0)",Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.537230744
"Theil index, GE(1)",Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.591009498
"Generalized entropy, GE(2)",Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.542987026
"Atkinson, A(0.5)",Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.243334061
"Atkinson, A(1)",Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.415635732
"Atkinson, A(2)",Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.670625096
Gini coefficient (no zero income),Latin America & the Caribbean,2004,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.540173816
Gini coefficient,Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.539293043
Rate 90/10,Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,12.152643338
Rate 75/25,Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.502369425
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,1.031696149
"Mean log deviation, GE(0)",Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.535939965
"Theil index, GE(1)",Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.585711897
"Generalized entropy, GE(2)",Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.384525390
"Atkinson, A(0.5)",Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.242279414
"Atkinson, A(1)",Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.414880960
"Atkinson, A(2)",Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.673564499
Gini coefficient (no zero income),Latin America & the Caribbean,2005,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.538806122
Gini coefficient,Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.533539348
Rate 90/10,Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,11.538574727
Rate 75/25,Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.427253872
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,0.941152493
"Mean log deviation, GE(0)",Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.520436294
"Theil index, GE(1)",Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.572082872
"Generalized entropy, GE(2)",Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.480363013
"Atkinson, A(0.5)",Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.236775489
"Atkinson, A(1)",Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.405738781
"Atkinson, A(2)",Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.653055452
Gini coefficient (no zero income),Latin America & the Caribbean,2006,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.533008607
Gini coefficient,Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.530440823
Rate 90/10,Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,11.511895400
Rate 75/25,Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.453900507
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,0.975887484
"Mean log deviation, GE(0)",Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.515757537
"Theil index, GE(1)",Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.562425122
"Generalized entropy, GE(2)",Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.320648475
"Atkinson, A(0.5)",Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.233976753
"Atkinson, A(1)",Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.402951863
"Atkinson, A(2)",Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.661220787
Gini coefficient (no zero income),Latin America & the Caribbean,2007,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.529620423
Gini coefficient,Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,2008,1,999,1,0.525602206
Rate 90/10,Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,2008,1,999,1,11.329887536
Rate 75/25,Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,2008,1,999,1,3.413312673
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,2008,1,999,1,0.979734970
"Mean log deviation, GE(0)",Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,2008,1,999,1,0.505700715
"Theil index, GE(1)",Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,2008,1,999,1,0.552206356
"Generalized entropy, GE(2)",Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,2008,1,999,1,1.329991926
"Atkinson, A(0.5)",Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,2008,1,999,1,0.229905598
"Atkinson, A(1)",Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,2008,1,999,1,0.396917162
"Atkinson, A(2)",Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,2008,1,999,1,0.662101653
Gini coefficient (no zero income),Latin America & the Caribbean,2008,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,2008,1,999,1,0.524835675
Gini coefficient,Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.521608779
Rate 90/10,Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,10.982960807
Rate 75/25,Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.376325233
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,1.006748129
"Mean log deviation, GE(0)",Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.495904850
"Theil index, GE(1)",Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.539971632
"Generalized entropy, GE(2)",Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.222596591
"Atkinson, A(0.5)",Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.226035046
"Atkinson, A(1)",Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.390980413
"Atkinson, A(2)",Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.668159535
Gini coefficient (no zero income),Latin America & the Caribbean,2009,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.520942988
Gini coefficient,Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.516978010
Rate 90/10,Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,10.583530032
Rate 75/25,Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.315156107
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,0.929299140
"Mean log deviation, GE(0)",Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.485009981
"Theil index, GE(1)",Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.529965072
"Generalized entropy, GE(2)",Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.178144537
"Atkinson, A(0.5)",Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.222056219
"Atkinson, A(1)",Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.384308948
"Atkinson, A(2)",Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.650178199
Gini coefficient (no zero income),Latin America & the Caribbean,2010,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.516283876
Gini coefficient,Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.514278488
Rate 90/10,Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,10.384872045
Rate 75/25,Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.292635152
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,0.887434362
"Mean log deviation, GE(0)",Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.479244178
"Theil index, GE(1)",Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.522834998
"Generalized entropy, GE(2)",Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.130910714
"Atkinson, A(0.5)",Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.219643976
"Atkinson, A(1)",Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.380748741
"Atkinson, A(2)",Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.639622591
Gini coefficient (no zero income),Latin America & the Caribbean,2011,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.513593189
Gini coefficient,Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.518952081
Rate 90/10,Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,10.725273013
Rate 75/25,Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.329383337
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,0.850396604
"Mean log deviation, GE(0)",Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.487158049
"Theil index, GE(1)",Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.534522877
"Generalized entropy, GE(2)",Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.144135030
"Atkinson, A(0.5)",Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.223690678
"Atkinson, A(1)",Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.385630075
"Atkinson, A(2)",Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.629738405
Gini coefficient (no zero income),Latin America & the Caribbean,2012,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.518386798
Gini coefficient,Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,2013,1,999,1,0.517641183
Rate 90/10,Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,2013,1,999,1,10.457488171
Rate 75/25,Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,2013,1,999,1,3.323838226
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,2013,1,999,1,0.988445625
"Mean log deviation, GE(0)",Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,2013,1,999,1,0.482137390
"Theil index, GE(1)",Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,2013,1,999,1,0.529042614
"Generalized entropy, GE(2)",Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,2013,1,999,1,1.101794064
"Atkinson, A(0.5)",Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,2013,1,999,1,0.221976446
"Atkinson, A(1)",Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,2013,1,999,1,0.382537777
"Atkinson, A(2)",Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,2013,1,999,1,0.664079096
Gini coefficient (no zero income),Latin America & the Caribbean,2013,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,2013,1,999,1,0.517187049
Gini coefficient,Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.515092988
Rate 90/10,Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,10.277619279
Rate 75/25,Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.280715186
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,0.788753302
"Mean log deviation, GE(0)",Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.474426598
"Theil index, GE(1)",Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.525632402
"Generalized entropy, GE(2)",Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,999,1,1.130175760
"Atkinson, A(0.5)",Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,999,1,0.219765139
"Atkinson, A(1)",Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,999,1,0.377758251
"Atkinson, A(2)",Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,999,1,0.612028152
Gini coefficient (no zero income),Latin America & the Caribbean,2014,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,999,1,0.514561885
Gini coefficient,Latin America & the Caribbean,2015,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,999,1,0.510901083
Rate 90/10,Latin America & the Caribbean,2015,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 90/10,1,WB569452,9999,1,999,1,10.100319205
Rate 75/25,Latin America & the Caribbean,2015,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,Razon 75/25,1,WB569452,9999,1,999,1,3.265734643
"Generalized entropy, GE(-1)",Latin America & the Caribbean,2015,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,999,1,0.776874169
"Mean log deviation, GE(0)",Latin America & the Caribbean,2015,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,999,1,0.467180235
"Theil index, GE(1)",Latin America & the Caribbean,2015,National,National,Nacional,LAC,América Latina y el Caribe,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,999,1,0.514929212
